author,timestamp,content,post_url,reactions
unknown,2025-01-26,"Before the lynx was a tree farm what was it? I know one of the original tree cutters that helped put the lynx together. I spent 5 years digging and cutting at the lynx I'm curious what this plume is, please no hate for my ignorance",https://www.facebook.com/groups/1996906587229548/posts/3859434184310103/?comment_id=3859592310960957&__cft__[0]=AZXwatFkODd0PKYTytRq5emEaNUfuXPQ3_A_eOs2lWCdarqHeAa2ANd_wYKoXtcBtPzPe-xEcQV633fRQNM2nStW_-7ae2WLe4iJgFXk4LTkH1C-dwmPO7keMHYPUjCZgI4POSwWcGKTnX2F4dKNF611BTi9SWMEaquk4T6ooCQPXkzMRzg2gVYWEvi_lK9PBrMdvnoEQKYfhQXrpHvgjnj8&__tn__=R-R,0
10w,2025-01-26,I need help getting the map,https://www.facebook.com/groups/1996906587229548/posts/3859434184310103/?comment_id=3859941757592679&__cft__[0]=AZXwatFkODd0PKYTytRq5emEaNUfuXPQ3_A_eOs2lWCdarqHeAa2ANd_wYKoXtcBtPzPe-xEcQV633fRQNM2nStW_-7ae2WLe4iJgFXk4LTkH1C-dwmPO7keMHYPUjCZgI4POSwWcGKTnX2F4dKNF611BTi9SWMEaquk4T6ooCQPXkzMRzg2gVYWEvi_lK9PBrMdvnoEQKYfhQXrpHvgjnj8&__tn__=R-R,0
unknown,2025-01-26,Did they buy or were they granted access by the land owner for a fee?,https://www.facebook.com/groups/1996906587229548/posts/3859435180976670/?comment_id=3859549060965282&__cft__[0]=AZVAHzaI_6MLVcstXxCe7s4BEPRVhFhwyZar1MXbJtUxImIk2Rq1aQvn30MpF16ehPKBRgfyhO8Oj2j2L7kQqwxryyIhoB6h9TXtInVTEqDXaDkPMVgweZOqTaf6kRWUrZ8cP8mfz-P_gtZZ6LYezZnJpUb30baiIRv9dZgesGJ7yehsCU8o5FDiF6-pz0LrvSOhDletvV3es9Izefs8ZkCi&__tn__=R-R,0
unknown,2025-02-02,"Thank you
Christina DeGrush
I love you",https://www.facebook.com/groups/1996906587229548/posts/3860671210853067/?comment_id=3860723467514508&__cft__[0]=AZWUvVaIp1swIgOfj4Ya_n7mLitK92Wdshjzm3eXRlAGHtu80HwrEep1rc4YTdZMXzb_NuYrDfpSEFoWt_khrHNKr10nxmKMVukAuaBehC_HiFGFiSCmfAXXub1SC7NorPJ-DyPFarEOq-XcOfSypBrwO_AOS_Bh-cmglPhR_JRj5CySPT8u6VBVUcBFo0CjHjY&__tn__=R-R,0
unknown,2025-02-02,Thank you!,https://www.facebook.com/groups/1996906587229548/posts/3860671210853067/?comment_id=3860741190846069&__cft__[0]=AZWUvVaIp1swIgOfj4Ya_n7mLitK92Wdshjzm3eXRlAGHtu80HwrEep1rc4YTdZMXzb_NuYrDfpSEFoWt_khrHNKr10nxmKMVukAuaBehC_HiFGFiSCmfAXXub1SC7NorPJ-DyPFarEOq-XcOfSypBrwO_AOS_Bh-cmglPhR_JRj5CySPT8u6VBVUcBFo0CjHjY&__tn__=R-R,0
unknown,2025-01-26,Your legacy lives on.,https://www.facebook.com/groups/1996906587229548/posts/3859440490976139/?comment_id=3859556414297880&__cft__[0]=AZXSkdPkqdXmThd1HjemjPQazL_rRp-KDHRK5Gey--XIh3odAcjXaKv578lejKRLUU49trlWsHKTHMrg5dSKUdCBBwoFzObQn2QAMmGbtNx3LGFt-FnOF4q0bgVHhXxxa2wbzJuj-b6y_FkM1CuYEH-LtoqdKvZL2MBaB_MKxOGP2pKSGY1mI3teUX5X2xnch87bXJ_s3o3ZBFLR5iMasfE4&__tn__=R-R,0
10w,2025-01-26,I thought your were going goibg to say my lunacy lol,https://www.facebook.com/groups/1996906587229548/posts/3859440490976139/?comment_id=3859595870960601&__cft__[0]=AZXSkdPkqdXmThd1HjemjPQazL_rRp-KDHRK5Gey--XIh3odAcjXaKv578lejKRLUU49trlWsHKTHMrg5dSKUdCBBwoFzObQn2QAMmGbtNx3LGFt-FnOF4q0bgVHhXxxa2wbzJuj-b6y_FkM1CuYEH-LtoqdKvZL2MBaB_MKxOGP2pKSGY1mI3teUX5X2xnch87bXJ_s3o3ZBFLR5iMasfE4&__tn__=R-R,0
unknown,unknown,,unknown,0
unknown,2019-04-08,"Yeah,  don't you love it?! Why the hell are we paying for something that we obviously can't use??? My kids told me last night that the water smelled awful!! Shit is ridiculous!!!!",https://www.facebook.com/groups/1996906587229548/posts/2137280273192178/?comment_id=2137282593191946&__cft__[0]=AZWdJGCLAKDiBsAwIv3d1NjHgpTCiX2xYOhfLEDfB4Hp6-Wtpr7LvnEm7XEyaebcTa6MS0Th-lsPs2UUFRYZyzWbvAQwEiPMw1-pMQ5fN9WrFB7HOHvwg7aOU_KN--G0CYVR7AbqGrnS4oGkSK88omFLFoKa6KjQVLnHQDB9SNHf7yM6rf1XBjNFE1wj_MCr2wc0gAO7r6hy5eWk49PEXAxN7AgBf3QEhPPnwRq-shRmSg&__tn__=R-R,0
unknown,2019-04-08,"When I used to live in the city and had City Water whenever they would run the fire hydrants out in the road. This would always happen I guess it's supposed to clean the system when they do that. I remember it was so bad I used to go to City Hall to ge…
See more
",https://www.facebook.com/groups/1996906587229548/posts/2137280273192178/?comment_id=2137284276525111&__cft__[0]=AZWdJGCLAKDiBsAwIv3d1NjHgpTCiX2xYOhfLEDfB4Hp6-Wtpr7LvnEm7XEyaebcTa6MS0Th-lsPs2UUFRYZyzWbvAQwEiPMw1-pMQ5fN9WrFB7HOHvwg7aOU_KN--G0CYVR7AbqGrnS4oGkSK88omFLFoKa6KjQVLnHQDB9SNHf7yM6rf1XBjNFE1wj_MCr2wc0gAO7r6hy5eWk49PEXAxN7AgBf3QEhPPnwRq-shRmSg&__tn__=R-R,0
